sample ID,DOC,TotalBiomass,fungAbundance,bactAbundance,FungRichness,FungDiversity,BactRichness,BactDiversity,BF ratio
100,High,441.954545454546,31284704.0065604,80535990.9437988,123,3.58959127959679,382,5.23911432960242,2.57429288533177
101,High,1351.2,5549636.8499437,124319660.842413,94,3.15073501732189,372,5.09224928662749,22.4014046691494
103,High,534.7,3621934.11226016,34033868.128952,106,2.97573362120714,348,4.80663284605691,9.39660056590985
104,High,957.045454545455,5180223.97295345,106949315.993766,129,3.47500652176557,483,5.70765654480327,20.6456934202383
105,High,1486.72727272727,87949791.312744,161344021.438917,107,3.41629410389127,396,4.88763047508204,1.83450146988055
106,Low,2766.9,56660662.3582993,340206750.344776,152,3.56158818221857,469,5.63499299963541,6.00428473979787
109,Low,1486.7,25471158.3581058,205283966.931728,146,3.47738458477076,463,5.51475079109252,8.05946726275995
110,Low,3572.8,25289448.126662,303930259.420996,151,3.79960135799433,496,5.71297826203909,12.0180661079975
111,High,2351.04545454545,17391103.5369126,259991353.373817,193,4.29614167887854,383,5.11264648923647,14.9496754373284
113,High,1615.8,14366864.352602,152556236.435467,134,3.65470126708519,520,5.82507233068362,10.6186174443721
114,High,763.2,30553462.55242,81015595.0689851,76,3.06631512197314,430,5.49246077030949,2.65160110511168
115,High,622.2,3096297.57650425,47013494.6149616,126,3.52882572822831,516,5.82302132631962,15.1837778680305
116,High,649.7,1600571.86472975,51668665.5581172,114,3.2057916047828,406,5.30799973083217,32.2813781103426
117,High,325.636363636364,7877034.60881427,92221907.0722851,117,3.20688832077758,445,5.43556316162042,11.7076935232823
118,High,537.2,1695080.54828664,37284348.1866201,90,2.45348145667698,459,5.55383403455441,21.9956203404649
120,Low,1252,8964231.73483967,195245320.334066,162,3.4665532126209,519,5.90725566270041,21.7804856131999
121,High,408,2572559.97963246,29340637.9170503,72,2.90383442590765,464,5.62139475640962,11.4052298680485
122,Low,2626.4,47255268.4130945,204909163.960892,78,1.95320255023741,475,5.59738153353105,4.33621839092362
130,High,508.9,4107678.81993598,30504666.4412425,177,3.80146903034547,395,5.07443957830154,7.42625404235423
131,Low,1956.13636363636,29936107.3568408,207994571.58645,162,3.75024492488675,463,5.7327825856699,6.94794981548998
133,High,983.272727272727,33507189.4046855,98294296.1616938,136,3.55307977149168,432,5.47744755625823,2.93352853247515
134,Low,758.090909090909,4408425.15519806,68143905.1316678,156,3.88699082954976,439,5.54129157087107,15.4576527291879
135,Low,2706.8,25776674.0389154,246731302.479348,156,3.14683062254166,485,5.74596116087681,9.57188278467789
136,High,1243.18181818182,23193518.0889311,130243934.219385,91,2.72895323023534,390,5.35024583682146,5.61553162051523
137,Low,1896.95454545455,86535324.0178492,308866345.817187,217,4.20005055918321,455,5.66245528430835,3.56925162438265
138,Low,2594.3,79289325.9190728,232971342.696011,146,3.1048262969157,462,5.68625343258548,2.93824345201011
139,Low,1282.9,74488386.8746014,188853699.982678,156,3.58764155826093,457,5.49832830275749,2.53534420473633
141,High,1474.2,121964483.142408,769975678.543068,130,3.64030660870424,426,5.56436301960741,6.31311393862119
142,Low,3522.45454545454,21208186.0780346,413600833.728943,124,3.6026193744957,487,5.77548144943644,19.5019428916323
151,Low,350,22253630.9872144,49223492.7934624,173,3.77007871075029,430,5.38267258620516,2.2119308449818
152,Low,1205.5,25222118.6218461,172991869.59203,108,3.11458597601101,405,5.14606324251068,6.85873665831519
155,High,1652.8,8673031.44714041,163933571.219506,108,3.30878517456662,497,5.73909718555145,18.9015308221391
156,High,1274.04545454545,19005465.3366787,214426633.206884,134,3.8722432012231,378,4.9499566840405,11.2823669091155
157,Low,1657.3,71572537.0157318,689703771.305246,131,3.79865889147238,501,5.75477691842698,9.63643039722971
159,Low,7018.18181818182,344131456.365721,1362551228.54398,119,2.95049626369143,514,5.8610479735296,3.95939168983129
160,High,1993.36363636364,15835010.1894787,183349525.435222,178,4.08338357339428,324,4.66373813940448,11.5787437609004
161,High,4700,82554992.4053072,478748385.701239,187,4.09231736330508,489,5.76776747500893,5.79914517284192
162,Low,5700.5,39630603.3341197,589262837.993782,181,4.00931778119564,508,5.90042572035157,14.8688838528597
165,Low,1370.13636363636,4350511.62637189,86161042.7025469,154,3.70222081987875,452,5.5341082214679,19.8048069059871
166,Low,1574,28903482.0312571,435001710.477602,153,3.91157952083656,481,5.83399415284961,15.0501489753788
169,High,2075.18181818182,45912982.6209543,282275301.661636,45,1.83802513460178,177,4.093894776856,6.14804975734267
170,Low,1699,76153848.1908618,243760053.865025,103,2.79008612364886,477,5.73776487783037,3.20088951058779
174,High,2563.40909090909,200707544.912454,411764244.818456,140,3.91745604225444,438,5.47770083387661,2.05156335800959
175,High,1352.72727272727,22442265.9864171,166923209.187555,72,2.44930755524369,242,4.2421348287071,7.43789460870769
177,High,805.5,9630923.78236657,112232696.63211,124,3.47565748082179,377,5.2874966358113,11.653367752489
178,High,1518.1,14295547.6452163,225990455.377764,121,3.35021203324503,359,5.10237695402526,15.8084503641514
179,High,112.6,1113531.27179397,5441794.50698223,158,3.44956391316153,386,5.2258988769474,4.88697052774741
180,High,1601.6,83497230.0187661,970967270.606955,140,3.61758743269152,486,5.79167975116578,11.6287363112373
181,High,917.7,20958885.3035822,78899190.3407584,131,3.2397332677912,278,4.742104638668,3.76447455090912
183,Low,3492.6,96496944.6451878,403589163.376193,103,2.87820455885527,485,5.73398083226231,4.18240354510872
184,High,2071.77272727273,8678748.05665247,165752905.833315,145,4.12512461001792,430,5.4429607690491,19.0987115597003
185,Low,2105,18305415.9062419,205349569.333268,121,3.81338100681483,406,5.33760468001281,11.2179679710662
187,High,5274.2,46953286.8651431,458130166.273467,NA,NA,NA,NA,9.7571479412993
188,High,3136.6,25273906.0766567,386640710.829051,NA,NA,NA,NA,15.2980196118619
189,Low,2105.7,4462185.75917815,240716906.06257,131,3.37089559927052,495,5.80622183773258,53.9459625963454
191,Low,1486.5,3317502.86339654,90473075.7262315,142,3.58346807588971,478,5.75154300502605,27.2714386246536
192,High,1471.9,6835781.90003013,105783579.545019,NA,NA,NA,NA,15.4749787357248
194,Low,1254.1,8429880.98421045,79424330.1945964,167,4.03165289845187,490,5.51341635849165,9.42176174768799
195,Low,236,2201917.78024836,21249244.1939365,49,2.1825496399125,76,2.70874543380429,9.65033498732172
196,High,2363.54545454545,47576917.2506539,376833020.984621,NA,NA,NA,NA,7.92050100680793
197,High,1626.1,25568300.1853146,236671674.274381,NA,NA,NA,NA,9.25644929694293
198,High,876,10040534.577055,68008704.881877,70,2.34633950790773,397,5.45424267937648,6.77341473802534
199,Low,1970.3,NA,650074549.78125,161,3.73179012517474,495,5.7883298864807,
200,Low,3697.2,50657704.442244,273407487.628772,180,4.20153507614195,426,5.35666380676577,5.39715509494692
201,Low,3515.7,19964510.2313721,430205772.359539,174,4.08754686600617,448,5.57937556126324,21.548526228483
202,Low,4016.6,17358039.4153809,284046226.004792,149,4.02896500077276,500,5.80060784678986,16.3639578876114
203,Low,839.9,3201252.46538987,73196359.9645714,165,3.9329370312729,511,5.83328731934679,22.8649132662697
204,High,534,3471939.91778018,64233517.79857,88,2.03723679618382,361,5.17119864903727,18.5007573056271
205,High,2295.2,99482912.8488836,358563385.859273,125,3.72650552505822,394,5.17655066183842,3.60427108124526
206,High,1522.72727272727,20190123.3832984,252924907.356332,107,2.85737093424684,295,4.39634297290775,12.5271600650819
207,High,2592.2,10567951.5492814,224717762.230828,91,2.93731019460095,NA,NA,21.2640795316769
208,Low,2416,138460861.260979,720573643.813866,127,3.62018592846658,418,5.26003834934291,5.20416843613074
209,Low,2257.5,108476817.542532,300954613.402348,NA,NA,449,5.54057366719321,2.7743680190871
210,Low,3609.2,57889652.6344507,317991252.710854,154,3.29381043462098,470,5.73890054001313,5.49305857333153
213,Low,2601.36363636364,10707636.7984566,301521514.39486,NA,NA,NA,NA,28.1594828130818
215,High,326,1505934.91752903,43298155.4463468,165,4.07985630984377,NA,NA,28.751677740092
216,Low,466.4,1810959.8450299,18730047.7725839,34,0.915479661301659,NA,NA,10.3426079954162
218,Low,5490.90909090909,26321655.5817086,387574605.080047,149,3.87922273979675,456,5.68214191181794,14.7245527120027
